LAKE NAME,Code,Latitude,Longitude,Distance,Latitude_DD,Longitude_DD
Pulicherla_Kunta,A10,"17°4'1.204""N","78°8'18.841""E",45.583,17.067,78.13857
Pulicherla_Kunta,A11,"17°4'2.392""N","78°8'18.197""E",60.084,17.06733,78.13839
Pulicherla_Kunta,A12,"17°4'2.392""N","78°8'18.229""E",0.0,17.06733,78.1384
Pulicherla_Kunta,A13,"17°4'4.372""N","78°8'17.441""E",65.193,17.06788,78.13818
Pulicherla_Kunta,A14,"17°4'4.541""N","78°8'12.559""E",144.561,17.06793,78.13682
Pulicherla_Kunta,A15,"17°4'3.67""N","78°8'8.804""E",114.24,17.06769,78.13578
Poolkam_Kunta,A1,"17°4'12.475""N","78°9'14.386""E",0.0,17.07013,78.154
Poolkam_Kunta,A2,"17°4'12.86""N","78°9'14.99""E",21.502,17.07024,78.15416
Poolkam_Kunta,A3,"17°4'13.469""N","78°9'16.643""E",52.316,17.07041,78.15462
Poolkam_Kunta,A4,"17°4'13.969""N","78°9'17.24""E",23.504,17.07055,78.15479
Poolkam_Kunta,A5,"17°4'13.969""N","78°9'17.896""E",19.404,17.07055,78.15497
Poolkam_Kunta,A6,"17°4'13.562""N","78°9'18.716""E",27.207,17.07043,78.1552
Poolkam_Kunta,A7,"17°4'13.141""N","78°9'19.055""E",16.396,17.07032,78.15529
Poolkam_Kunta,A8,"17°4'12.832""N","78°9'19.663""E",20.436,17.07023,78.15546
Poolkam_Kunta,A9,"17°4'12.695""N","78°9'19.75""E",4.892,17.07019,78.15549
Chama_Kunta,A1,"17°4'20.737""N","78°9'15.822""E",0.0,17.07243,78.15439
Chama_Kunta,A2,"17°4'20.892""N","78°9'15.966""E",6.372,17.07247,78.15444
Chama_Kunta,A3,"17°4'21.086""N","78°9'16.434""E",15.114,17.07252,78.15457
Chama_Kunta,A4,"17°4'21.126""N","78°9'17.359""E",27.354,17.07253,78.15482
Chama_Kunta,A5,"17°4'21.169""N","78°9'18.36""E",29.651,17.07255,78.1551
Chama_Kunta,A6,"17°4'21.007""N","78°9'18.997""E",19.494,17.0725,78.15528
Chama_Kunta,A7,"17°4'21.076""N","78°9'18.84""E",25.013,17.07252,78.15523
Chama_Kunta,A8,"17°4'21.252""N","78°9'20.405""E",17.542,17.07257,78.15567
Chama_Kunta,A9,"17°4'20.702""N","78°9'20.873""E",21.754,17.07242,78.1558
Chama_Kunta,A10,"17°4'20.686""N","78°9'21.092""E",6.716,17.07241,78.15586
Chama_Kunta,A11,"17°4'19.965""N","78°9'21.085""E",21.728,17.07221,78.15586
Chama_Kunta,A12,"17°4'19.571""N","78°9'20.675""E",16.949,17.0721,78.15574
Masoni_Kunta,A1,"17°5'4.24""N","78°9'39.053""E",0.0,17.08451,78.16085
Masoni_Kunta,A2,"17°5'4.924""N","78°9'39.496""E",24.744,17.0847,78.16097
Masoni_Kunta,A3,"17°5'5.453""N","78°9'40.025""E",22.588,17.08485,78.16112
Masoni_Kunta,A4,"17°5'5.806""N","78°9'41.306""E",39.499,17.08495,78.16147
Masoni_Kunta,A5,"17°5'6.151""N","78°9'42.538""E",37.931,17.08504,78.16182
Masoni_Kunta,A6,"17°5'6.486""N","78°9'43.47""E",29.407,17.08514,78.16208
Masoni_Kunta,A7,"17°5'6.612""N","78°9'43.834""E",11.469,17.08517,78.16218
Masoni_Kunta,A8,"17°5'6.608""N","78°9'44.651""E",24.224,17.08517,78.1624
Kunta_Shikham,A1,"78°10'15.6""E","17°4'44.4""N",0.0,17.079,78.171
Kunta_Shikham,A2,"78°10'15.6""E","17°4'44.4""N",33.76,17.079,78.171
Kunta_Shikham,A3,"78°10'12""E","17°4'44.4""N",36.778,17.079,78.17
Kunta_Shikham,A4,"78°10'12""E","17°4'44.4""N",36.656,17.079,78.17
Kunta_Shikham,A5,"78°10'12""E","17°4'40.8""N",32.445,17.078,78.17
Kunta_Shikham,A6,"78°10'12""E","17°4'40.8""N",13.93,17.078,78.17
Kunta_Shikham,A7,"78°10'12""E","17°4'40.8""N",32.456,17.078,78.17
